 Name(abbreviation);Water_Fos_density_mouse#1;Water_Fos_density_mouse#2;Water_Fos_density_mouse#3;Water_Fos_density_mouse#4;Water_Fos_density_mouse#5;Water_Fos_density_mouse#6;Water_Fos_density_mouse#7;Sugar_1_d_Fos_density_mouse#1;Sugar_1_d_Fos_density_mouse#2;Sugar_1_d_Fos_density_mouse#3;Sugar_1_d_Fos_density_mouse#4;Sugar_1_d_Fos_density_mouse#5;Sugar_7_d_Fos_density_mouse#1;Sugar_7_d_Fos_density_mouse#2;Sugar_7_d_Fos_density_mouse#3;Sugar_7_d_Fos_density_mouse#4;Sugar_7_d_Fos_density_mouse#5;Sugar_7_d_Fos_density_mouse#6;Sugar_7_d_Fos_density_mouse#7;Average_Water_Fos_density;Average_Sugar_1_d_Fos_density;Average_Sugar_7_d_Fos_density
 Frontal pole  layer 1 (FRP1);2466,855332;4006,173059;4673,21074;1507,741979;1626,151035;489,4240978;6042,808821;11833,01166;4539,01381;9243,800299;3327,294471;0;2466,855332;4329,824478;13972,2686;7242,687254;280,2347657;3315,453566;2222,143283;2973,195009;5788,624047;4832,78104
 Frontal pole  layer 2/3 (FRP2/3);1060,041974;1115,608691;1457,557715;448,8080939;320,57721;106,85907;2833,902536;4013,626669;901,8905507;2115,809586;906,1649135;0;226,5412284;2137,1814;3599,013477;1564,416785;64,11544199;1564,416785;239,3643168;1049,050756;1587,498344;1342,149919
 Primary motor area  Layer 1 (MOp1);1894,924015;3306,887277;8285,67769;1742,727334;8847,750578;1681,697972;9897,304913;15680,02532;9091,868026;16125,31362;9522,840804;1327,576984;8391,160537;6551,238293;12168,19994;12963,08854;812,9713765;5898,751535;6597,198677;5093,852826;10349,52495;7626,086985
 Primary motor area  Layer 2/3 (MOp2/3);7208,517776;4236,904028;8474,079462;5233,774728;13763,49222;2792,215018;7411,528743;19413,60228;13450,56222;19865,76307;16631,15784;960,77383;7054,63112;13035,31251;18254,97418;22139,86587;2555,278421;16130,14414;6874,14677;7017,215997;14064,37185;12292,05043
 Primary motor area  Layer 5 (MOp5);8600,855009;3065,923783;6069,770713;9557,083183;18113,29179;2981,21793;7061,471374;14114,38042;11743,83971;10520,65049;15324,72616;343,7161712;6566,691334;12741,96212;13736,41495;11383,61049;3480,279132;17398,64348;6514,094198;7921,373397;10409,46259;10260,24224
 Primary motor area  Layer 6a (MOp6a);4993,891637;1801,532138;3664,669992;5432,440805;7542,697634;1886,805587;5389,978107;8417,011531;9495,981706;5454,368263;8869,482895;247,8150854;4607,898758;9870,488773;6985,461747;5797,898445;2053,175827;9981,17023;4674,029188;4387,430843;6496,931896;6281,446138
 Primary motor area  Layer 6b (MOp6b);8522,062067;4345,434843;7013,684308;14816,95264;18623,29218;4073,164489;14011,03239;18302,01317;22271,71492;14179,84001;20262,35971;942,0554234;10841,80548;30347,25361;15660,99074;12970,95964;7128,037856;22968,72703;11059,62176;10200,80328;15191,59665;15853,91373
 Secondary motor area  layer 1 (MOs1);1664,764776;1415,437614;2571,213263;341,0485521;2828,291528;516,7402304;4331,144364;6511,35752;2653,030466;3963,828184;2744,32124;0;2887,286037;2793,411562;7784,260954;2359,780385;267,8436861;2616,85865;2057,056734;1952,662904;3174,507482;2966,642573
 Secondary motor area  layer 2/3 (MOs2/3);4123,135459;2041,805769;3941,061929;1414,429393;6477,707191;966,2281268;4636,682942;10186,89545;6526,716853;8903,685474;8056,819589;0;4334,983677;6641,336225;9855,421496;7772,774342;734,8814414;7722,447216;3648,584912;3371,578687;6734,823473;5815,775616
 Secondary motor area  layer 5 (MOs5);3131,77139;1583,738176;3179,526775;2964,404385;7015,355365;1010,896708;3164,575323;5476,471546;5385,870208;6006,243905;6114,92088;0;3290,212154;5840,662149;5798,708819;5426,261445;1206,827681;7212,84843;3140,69763;3150,038303;4596,701308;4559,459758
