category,abbrev
CTXpl,FRP1
CTXpl,FRP2/3
CTXpl,MOp1
CTXpl,MOp2/3
CTXpl,MOp5
CTXpl,MOp6a
CTXpl,MOp6b
CTXpl,MOs1
CTXpl,MOs2/3
CTXpl,MOs5
CTXpl,MOs6a
CTXpl,MOs6b
CTXpl,SSp-bfd1
CTXpl,SSp-bfd2/3
CTXpl,SSp-bfd4
CTXpl,SSp-bfd5
CTXpl,SSp-bfd6a
CTXpl,SSp-bfd6b
CTXpl,SSp-ll1
CTXpl,SSp-ll2/3
CTXpl,SSp-ll4
CTXpl,SSp-ll5
CTXpl,SSp-ll6a
CTXpl,SSp-ll6b
CTXpl,SSp-m1
CTXpl,SSp-m2/3
CTXpl,SSp-m4
CTXpl,SSp-m5
CTXpl,SSp-m6a
CTXpl,SSp-m6b
CTXpl,SSp-n1
CTXpl,SSp-n2/3
CTXpl,SSp-n4
CTXpl,SSp-n5
CTXpl,SSp-n6a
CTXpl,SSp-n6b
CTXpl,SSp-tr1
CTXpl,SSp-tr2/3
CTXpl,SSp-tr4
CTXpl,SSp-tr5
CTXpl,SSp-tr6a
CTXpl,SSp-tr6b
CTXpl,SSp-ul1
CTXpl,SSp-ul2/3
CTXpl,SSp-ul4
CTXpl,SSp-ul5
CTXpl,SSp-ul6a
CTXpl,SSp-ul6b
CTXpl,SSs1
CTXpl,SSs2/3
CTXpl,SSs4
CTXpl,SSs5
CTXpl,SSs6a
CTXpl,SSs6b
CTXpl,GU1
CTXpl,GU2/3
CTXpl,GU4
CTXpl,GU5
CTXpl,GU6a
CTXpl,GU6b
CTXpl,VISC1
CTXpl,VISC2/3
CTXpl,VISC4
CTXpl,VISC6a
CTXpl,VISC6b
CTXpl,VISC5
CTXpl,AUDd1
CTXpl,AUDd2/3
CTXpl,AUDd4
CTXpl,AUDd5
CTXpl,AUDd6a
CTXpl,AUDd6b
CTXpl,AUDp1
CTXpl,AUDp2/3
CTXpl,AUDp4
CTXpl,AUDp5
CTXpl,AUDp6a
CTXpl,AUDp6b
CTXpl,AUDpo1
CTXpl,AUDpo2/3
CTXpl,AUDpo4
CTXpl,AUDpo5
CTXpl,AUDpo6a
CTXpl,AUDpo6b
CTXpl,AUDv1
CTXpl,AUDv2/3
CTXpl,AUDv4
CTXpl,AUDv5
CTXpl,AUDv6a
CTXpl,AUDv6b
CTXpl,VISal1
CTXpl,VISal2/3
CTXpl,VISal4
CTXpl,VISal5
CTXpl,VISal6a
CTXpl,VISal6b
CTXpl,VISam2/3
CTXpl,VISam4
CTXpl,VISam5
CTXpl,VISam6a
CTXpl,VISam6b
CTXpl,VISl1
CTXpl,VISl2/3
CTXpl,VISl4
CTXpl,VISl5
CTXpl,VISl6a
CTXpl,VISl6b
CTXpl,VISp1
CTXpl,VISp2/3
CTXpl,VISp4
CTXpl,VISp5
CTXpl,VISp6a
CTXpl,VISp6b
CTXpl,VISpl1
CTXpl,VISpl2/3
CTXpl,VISpl4
CTXpl,VISpl5
CTXpl,VISpl6a
CTXpl,VISpl6b
CTXpl,VISpm1
CTXpl,VISpm2/3
CTXpl,VISpm4
CTXpl,VISpm5
CTXpl,VISpm6a
CTXpl,VISpm6b
CTXpl,ACAd1
CTXpl,ACAd2/3
CTXpl,ACAd5
CTXpl,ACAd6a
CTXpl,ACAd6b
CTXpl,ACAv1
CTXpl,ACAv2/3
CTXpl,ACAv5
CTXpl,ACAv6a
CTXpl,ACAv6b
CTXpl,PL1
CTXpl,PL2/3
CTXpl,PL5
CTXpl,PL6a
CTXpl,PL6b
CTXpl,ILA1
CTXpl,ILA2/3
CTXpl,ILA5
CTXpl,ILA6a
CTXpl,ILA6b
CTXpl,ORBl1
CTXpl,ORBl2/3
CTXpl,ORBl5
CTXpl,ORBl6a
CTXpl,ORBm1
CTXpl,ORBm2/3
CTXpl,ORBm5
CTXpl,ORBm6a
CTXpl,ORBvl1
CTXpl,ORBvl2/3
CTXpl,ORBvl5
CTXpl,ORBvl6a
CTXpl,ORBvl6b
CTXpl,AIp1
