"abbrev","category","term","p.value","adj.p.value","p.fdr"
"AAA","STR","Cocaine1d",0.0103736472860516,0.00993386729989842,0.0753486163237622
"ACAd1","CTXpl","Cocaine1d",0.833558536425458,0.75426905896693,0.78724256974144
"ACAd2/3","CTXpl","Cocaine1d",0.892004903734905,0.621925311047507,0.663618627989239
"ACAd5","CTXpl","Cocaine1d",0.500727104662025,0.385324168563519,0.4575418434984
"ACAd6a","CTXpl","Cocaine1d",0.0249016789706739,0.0233798043900731,0.112203737317599
"ACAd6b","CTXpl","Cocaine1d",0.00127936735574144,0.00125628050454007,0.0342785109095935
"ACAv1","CTXpl","Cocaine1d",0.612462073805601,0.848595141609106,0.872557156186206
"ACAv2/3","CTXpl","Cocaine1d",0.503838773971258,0.388601808460107,0.458970511727053
"ACAv5","CTXpl","Cocaine1d",0.625958044404179,0.459182294438313,0.526749659085392
"ACAv6a","CTXpl","Cocaine1d",0.0723173436313875,0.0653627615111193,0.156053593107797
"ACAv6b","CTXpl","Cocaine1d",0.0036303900654791,0.00353036064554035,0.058634685504192
"ACB","STR","Cocaine1d",0.0076738233030618,0.00738641997211853,0.070540310733732
"AD","TH","Cocaine1d",0.211015908052152,0.17847106287296,0.269470142361545
"ADP","HY","Cocaine1d",0.797879875256032,0.555739421985984,0.60310357726888
"AHN","HY","Cocaine1d",0.0382375070430652,0.0350545298036528,0.123919013739161
"AIp1","CTXpl","Cocaine1d",0.0811329170229117,0.0729333200500505,0.164944959847902
"AIp2/3","CTXpl","Cocaine1d",0.180145708131292,0.154270206248941,0.244527878784629
"AIp5","CTXpl","Cocaine1d",0.1596362582043,0.137910929600594,0.227077478911323
"AIp6a","CTXpl","Cocaine1d",0.274272595828386,0.226607263998168,0.31328346608301
"AIv1","CTXpl","Cocaine1d",0.0103530294806545,0.00991462965296919,0.0753486163237622
"AIv2/3","CTXpl","Cocaine1d",0.106592947041022,0.0944591746542223,0.186960646206803
"AIv5","CTXpl","Cocaine1d",0.0586449870902326,0.0534895216709672,0.144709754307253
"AIv6a","CTXpl","Cocaine1d",0.0765769610629146,0.0690196600561084,0.161751595959714
"AM","TH","Cocaine1d",0.367446449984946,0.290298939906134,0.368419252638349
"AOBgl","OLF","Cocaine1d",0.286355101212795,0.23042777307467,0.316529081585865
"AOBgr","OLF","Cocaine1d",0.552369227359742,0.410109692429516,0.478644207611033
"AOBmi","OLF","Cocaine1d",0.45306292359712,0.351673049874733,0.427831544752063
"AON","OLF","Cocaine1d",0.177523096138014,0.152193630008803,0.242241527764011
"APN","MB","Cocaine1d",0.439867749930199,0.344589903087879,0.423128699044018
"ARH","HY","Cocaine1d",0.00143767351761267,0.00139806523230601,0.0356040612493931
"ASO","HY","Cocaine1d",0.366902304734732,0.283803174085769,0.365026304716376
"AT","MB","Cocaine1d",0.965253769379418,0.669259774076853,0.704289899992721
"AUDd1","CTXpl","Cocaine1d",0.00290843474436378,0.00283519816375366,0.0515736046930428
"AUDd2/3","CTXpl","Cocaine1d",0.0922631167019927,0.0824050341273577,0.172960016684894
"AUDd4","CTXpl","Cocaine1d",0.145133228938314,0.126208225546717,0.218151774474416
"AUDd5","CTXpl","Cocaine1d",0.028659158564936,0.0268032021092993,0.117865350578097
"AUDd6a","CTXpl","Cocaine1d",0.00244006190935692,0.00238290599353008,0.0491980741504222
"AUDd6b","CTXpl","Cocaine1d",0.00177563605877921,0.00173907065355194,0.0408808287777106
"AUDp1","CTXpl","Cocaine1d",0.00119386247490158,0.00117569305332865,0.0342785109095935
"AUDp2/3","CTXpl","Cocaine1d",0.136504000132057,0.119179484060426,0.214747938259825
"AUDp4","CTXpl","Cocaine1d",0.147274423951011,0.127941781809637,0.219164845969872
"AUDp5","CTXpl","Cocaine1d",0.00846729030480111,0.00813715342541033,0.0724576728620397
"AUDp6a","CTXpl","Cocaine1d",0.00573077610236601,0.00554044752518401,0.0661390923318841
"AUDp6b","CTXpl","Cocaine1d",0.000872609578871039,0.000859101894863712,0.0342785109095935
"AUDpo1","CTXpl","Cocaine1d",6.8795187977802e-05,6.84704461396679e-05,0.00523114208507063
"AUDpo2/3","CTXpl","Cocaine1d",0.0293533579610224,0.0274298890401914,0.117865350578097
