abbrev,signal,case_id,group_label
FRP1,2466.855332,W1,Water
FRP2/3,1060.041974,W1,Water
MOp1,1894.924015,W1,Water
MOp2/3,7208.517776,W1,Water
MOp5,8600.855009,W1,Water
MOp6a,4993.891637,W1,Water
MOp6b,8522.062067,W1,Water
MOs1,1664.764776,W1,Water
MOs2/3,4123.135459,W1,Water
MOs5,3131.77139,W1,Water
MOs6a,2258.800705,W1,Water
MOs6b,2794.206024,W1,Water
SSp-bfd1,254.5088696,W1,Water
SSp-bfd2/3,5179.788577,W1,Water
SSp-bfd4,4330.515024,W1,Water
SSp-bfd5,7964.198022,W1,Water
SSp-bfd6a,4541.560877,W1,Water
SSp-bfd6b,4216.309013,W1,Water
SSp-ll1,389.8778383,W1,Water
SSp-ll2/3,3427.82599,W1,Water
SSp-ll4,5612.810931,W1,Water
SSp-ll5,5742.902926,W1,Water
SSp-ll6a,3927.233332,W1,Water
SSp-ll6b,7144.278607,W1,Water
SSp-m1,373.2597722,W1,Water
SSp-m2/3,4712.675172,W1,Water
SSp-m4,7786.658879,W1,Water
SSp-m5,9365.703314,W1,Water
SSp-m6a,3979.957138,W1,Water
SSp-m6b,4430.832237,W1,Water
SSp-n1,224.5438798,W1,Water
SSp-n2/3,4441.880318,W1,Water
SSp-n4,5412.499451,W1,Water
SSp-n5,13249.99203,W1,Water
SSp-n6a,5609.241156,W1,Water
SSp-n6b,6106.864491,W1,Water
SSp-tr1,87.81173165,W1,Water
SSp-tr2/3,1805.066879,W1,Water
SSp-tr4,3216.629911,W1,Water
SSp-tr5,5598.512339,W1,Water
SSp-tr6a,3059.061773,W1,Water
SSp-tr6b,3606.044082,W1,Water
SSp-ul1,478.4523258,W1,Water
SSp-ul2/3,4828.684966,W1,Water
SSp-ul4,6294.489598,W1,Water
SSp-ul5,7143.361974,W1,Water
SSp-ul6a,3935.442204,W1,Water
SSp-ul6b,8456.135815,W1,Water
SSs1,241.0642064,W1,Water
SSs2/3,1988.331889,W1,Water
SSs4,3772.970099,W1,Water
SSs5,3731.819371,W1,Water
SSs6a,1900.008713,W1,Water
SSs6b,1496.132131,W1,Water
GU1,970.6961569,W1,Water
GU2/3,2789.806169,W1,Water
GU4,3745.471385,W1,Water
GU5,5310.673439,W1,Water
GU6a,4549.420109,W1,Water
GU6b,4057.475493,W1,Water
VISC1,215.7567446,W1,Water
VISC2/3,491.4384271,W1,Water
VISC4,1125.203465,W1,Water
VISC6a,1950.878966,W1,Water
VISC6b,2859.675037,W1,Water
VISC5,984.4990548,W1,Water
AUDd1,412.5412541,W1,Water
AUDd2/3,6298.895097,W1,Water
AUDd4,15028.22982,W1,Water
AUDd5,19370.83482,W1,Water
AUDd6a,20776.29423,W1,Water
AUDd6b,24846.25339,W1,Water
AUDp1,47.45821699,W1,Water
AUDp2/3,2163.808813,W1,Water
AUDp4,6464,W1,Water
AUDp5,7477.894737,W1,Water
AUDp6a,5483.025201,W1,Water
AUDp6b,8957.770774,W1,Water
AUDpo1,151.827738,W1,Water
AUDpo2/3,507.0125314,W1,Water
AUDpo4,837.3071661,W1,Water
AUDpo5,2392.371056,W1,Water
AUDpo6a,2124.427867,W1,Water
AUDpo6b,2012.58151,W1,Water
