"abbrev","category","term","p.value","adj.p.value","p.fdr"
"AAA","STR","Sugar1d",0.00116005675303472,0.00114410176527791,0.0156088169405771
"ACAd1","CTXpl","Sugar1d",0.874762165446508,0.736405916051273,0.752157914255578
"ACAd2/3","CTXpl","Sugar1d",0.334015145445572,0.271798343474827,0.325023108897606
"ACAd5","CTXpl","Sugar1d",0.105423817131412,0.0944967208575627,0.153607435606761
"ACAd6a","CTXpl","Sugar1d",0.0329307735578151,0.0309349901612358,0.0904291725073237
"ACAd6b","CTXpl","Sugar1d",0.0509479078172102,0.0471812881566714,0.109021502625893
"ACAv1","CTXpl","Sugar1d",0.596557875104144,0.457315211232263,0.493748400792119
"ACAv2/3","CTXpl","Sugar1d",0.410035173804797,0.329849426300903,0.379525544719713
"ACAv5","CTXpl","Sugar1d",0.19375004679773,0.166938435064782,0.225337392914299
"ACAv6a","CTXpl","Sugar1d",0.0502566783069643,0.046562985173022,0.109021502625893
"ACAv6b","CTXpl","Sugar1d",0.060266935515791,0.0554521644692499,0.115786736496625
"ACB","STR","Sugar1d",0.000117511769257099,0.000116908880971378,0.00372159937758887
"AD","TH","Sugar1d",0.296584604943539,0.246101712976201,0.301316840887528
"ADP","HY","Sugar1d",0.0256853786109061,0.0243902935090428,0.079612743284575
"AHN","HY","Sugar1d",1.32900661494775e-05,1.32630932365707e-05,0.000790397922273676
"AIp1","CTXpl","Sugar1d",0.0739075982186049,0.0668372404541535,0.127659129267433
"AIp2/3","CTXpl","Sugar1d",0.0417003417544644,0.0385867918443148,0.0995956384089747
"AIp5","CTXpl","Sugar1d",0.0726332626456024,0.0657358349868645,0.126823681641324
"AIp6a","CTXpl","Sugar1d",0.0504754218752612,0.0463817219487257,0.109021502625893
"AIv1","CTXpl","Sugar1d",0.0147320394325996,0.0141115450384707,0.0597750502767401
"AIv2/3","CTXpl","Sugar1d",0.0153293120964889,0.0146718266682392,0.0602649224437351
"AIv5","CTXpl","Sugar1d",0.0687395312439354,0.0629001597247892,0.123219800076254
"AIv6a","CTXpl","Sugar1d",0.00649386819801273,0.00630319374078492,0.0415141380858593
"AM","TH","Sugar1d",0.270820739513415,0.226732243588998,0.280296818935267
"AOBgl","OLF","Sugar1d",0.00630051324671254,0.00611863328991247,0.0410055774867818
"AOBgr","OLF","Sugar1d",0.0114072774323713,0.01089796159498,0.0544874062343863
"AOBmi","OLF","Sugar1d",0.0287950001134222,0.0271537618667409,0.083651105105605
"AON","OLF","Sugar1d",0.0771749725979643,0.0702600589188686,0.12903530051446
"APN","MB","Sugar1d",0.0973367332343261,0.0868276178494789,0.142966163872849
"ARH","HY","Sugar1d",0.135418263431129,0.120230705837818,0.180358477275821
"ASO","HY","Sugar1d",0.00138607448762197,0.00135471247365326,0.0174786200647838
"AT","MB","Sugar1d",0.582366436653862,0.441287391284463,0.481633667059043
"AUDd1","CTXpl","Sugar1d",0.0292698074249698,0.0275897667725208,0.0843143272568235
"AUDd2/3","CTXpl","Sugar1d",0.150198971947046,0.130534632150031,0.18745950932824
"AUDd4","CTXpl","Sugar1d",0.209180514637661,0.177365712394191,0.236901056414618
"AUDd5","CTXpl","Sugar1d",0.277547362306717,0.229471366182934,0.282767941554454
"AUDd6a","CTXpl","Sugar1d",0.0393340302331043,0.0364712925908589,0.0974268095783783
"AUDd6b","CTXpl","Sugar1d",0.152518717172982,0.132412213041908,0.188863341230536
"AUDp1","CTXpl","Sugar1d",0.0684536095274341,0.0626501112725563,0.123219800076254
"AUDp2/3","CTXpl","Sugar1d",0.00213689282251874,0.00209857331799612,0.0235780884551329
"AUDp4","CTXpl","Sugar1d",0,0,0
"AUDp5","CTXpl","Sugar1d",0.498082744855903,0.384260880330463,0.426708303157666
"AUDp6a","CTXpl","Sugar1d",0.21930338187031,0.1852179207003,0.243976709336257
"AUDp6b","CTXpl","Sugar1d",0.330400703064363,0.268318426503336,0.322319619258724
"AUDpo1","CTXpl","Sugar1d",0.0100410195787965,0.00968299008442142,0.0499851650303916
"AUDpo2/3","CTXpl","Sugar1d",0.00810804065837283,0.00784609118736113,0.0454122247510902
"AUDpo4","CTXpl","Sugar1d",0.0337929599326848,0.0317212280523073,0.0904291725073237
"AUDpo5","CTXpl","Sugar1d",0.0725213286776527,0.0662072716528103,0.127091345584792
"AUDpo6a","CTXpl","Sugar1d",0.0389093465805609,0.0363636745811972,0.0974268095783783
"AUDpo6b","CTXpl","Sugar1d",0.174566163160124,0.151580285491306,0.212101351859629
"AUDv1","CTXpl","Sugar1d",0.00341776434672464,0.00334192523310683,0.0317250070145413
"AUDv2/3","CTXpl","Sugar1d",0.0860511126942194,0.0772524362756909,0.135992768006055
"AUDv4","CTXpl","Sugar1d",0.133429406828476,0.116861701666525,0.176584989068199
"AUDv5","CTXpl","Sugar1d",0.0828957544477906,0.0745575491332595,0.133333099494428
"AUDv6a","CTXpl","Sugar1d",0.0028875300713027,0.00281716263140819,0.0298932256999424
"AUDv6b","CTXpl","Sugar1d",0.00616203826666573,0.00595669661467713,0.0406331804786904
