 Name(abbreviation);Saline_Fos_density_mouse#1;Saline_Fos_density_mouse#2;Saline_Fos_density_mouse#3;Saline_Fos_density_mouse#4;Saline_Fos_density_mouse#5;Saline_Fos_density_mouse#6;Saline_Fos_density_mouse#7;Cocaine_1_d_Fos_density_mouse#1;Cocaine_1_d_Fos_density_mouse#2;Cocaine_1_d_Fos_density_mouse#3;Cocaine_1_d_Fos_density_mouse#4;Cocaine_1_d_Fos_density_mouse#5;Cocaine_1_d_Fos_density_mouse#6;Cocaine_7_d_Fos_density_mouse#1;Cocaine_7_d_Fos_density_mouse#2;Cocaine_7_d_Fos_density_mouse#3;Cocaine_7_d_Fos_density_mouse#4;Cocaine_7_d_Fos_density_mouse#5;Cocaine_7_d_Fos_density_mouse#6;Average_Saline_Fos_density;Average_Cocaine_1_d_Fos_density;Average_Cocaine_7_d_Fos_density
 Frontal pole  layer 1 (FRP1);1847,181272;623,6210279;888,0679194;12926,32194;667,0376817;359,1741363;2565,529545;0;6938,770677;1397,22686;12890,79922;7747,899226;970,9542586;513,105909;2012,953951;2695,779507;1535,370758;8482,035373;493,3710664;2839,561932;4990,941707;2622,102761
 Frontal pole  layer 2/3 (FRP2/3);115,4077956;4,274362799;64,11544199;3970,883041;123,9565212;29,9205396;824,9520203;0;2393,643168;162,4257864;3953,785589;3073,266853;188,0719632;119,6821584;589,8620663;953,1829043;735,1904015;3188,674648;123,9565212;733,3585317;1628,532227;951,7581167
 Primary motor area  Layer 1 (MOp1);3580,389232;814,4782743;767,0109928;8556,919298;1410,456364;342,0658062;5117,425013;690,9126527;6851,864409;2071,23106;17592,27866;10674,86419;3253,392404;10969,46272;2528,57455;6944,538626;7877,308379;16954,10743;10735,89355;2941,249283;6855,757229;9334,980875
 Primary motor area  Layer 2/3 (MOp2/3);11281,49316;1349,154438;2606,845378;7688,633286;1955,47329;386,7521773;4528,935848;3000,382681;14093,79215;8448,295983;13616,11929;14950,88926;2345,482327;13559,12423;6053,689344;15698,06732;13451,10503;16951,41578;13644,07401;4256,755368;9409,160282;13226,24595
 Primary motor area  Layer 5 (MOp5);14101,53694;3188,8543;5563,676173;13884,72665;1681,579382;1410,337172;2923,116441;6799,403084;10580,28097;12102,84575;10621,25781;14613,44163;6765,153785;16690,41692;11839,55427;9350,364205;10244,51553;10520,34469;16277,89636;6107,689579;10247,06384;12487,182
 Primary motor area  Layer 6a (MOp6a);8050,161671;1315,647504;2442,3012;7916,508592;1549,192339;664,436795;2979,697958;4692,128042;7137,909791;6037,360212;7502,671321;9888,935683;4337,460104;9251,64717;6226,702075;3510,829728;6946,131544;5031,82962;9071,006679;3559,70658;6599,410859;6673,024469
 Primary motor area  Layer 6b (MOp6b);17185,70472;4421,670542;6823,09506;18982,68905;3495,95134;1644,512936;10482,40861;13128,87645;18302,01317;15225,35817;17419,85722;19396,53999;10956,15903;24340,96961;16809,97163;8848,786491;17550,54699;12404,63731;24357,30583;9005,147466;15738,134;17385,36964
 Secondary motor area  layer 1 (MOs1);564,1080848;155,0220691;356,1201421;2960,060286;310,0441382;135,6443105;1481,321994;89,99892346;3664,980084;276,0254064;6880,826784;3580,148563;339,7567015;1588,976208;1028,743675;2958,768436;2376,574443;5095,919905;1669,070944;851,7601464;2471,956077;2453,008935
 Secondary motor area  layer 2/3 (MOs2/3);2084,491604;277,4579268;1102,453909;3587,191088;809,1864133;131,2194184;2381,184506;595,493746;8822,266196;1465,020012;7687,402672;6216,585818;626,5858973;2915,020935;2154,317198;7711,380518;5614,241259;7456,846465;2995,913227;1481,883552;4235,559057;4807,953267
 Secondary motor area  layer 5 (MOs5);3096,735897;826,1235347;1763,37876;5197,080227;565,4773195;238,1074585;1359,912701;1259,938811;4405,099561;2229,328501;4655,257444;4850,965261;1100,382266;5561,270829;3920,627872;4182,389867;4927,954083;4257,593441;5510,391259;1863,830843;3083,495307;4726,704559
 Secondary motor area  layer 6a (MOs6a);2139,278275;649,1453713;919,8030478;3460,953841;480,2549812;206,5659387;1433,403055;1724,847241;2741,654;2027,117734;3193,760583;4095,375435;2521,66344;4076,754187;2061,328864;1693,234424;2873,734946;2370,528194;3999,237828;1327,057787;2717,403072;2845,803074
 Secondary motor area  layer 6b (MOs6b);5672,659466;1207,546322;1713,030829;5630,535757;1151,381377;266,7834898;4310,659545;3454,14413;7357,607823;6416,84499;8719,607744;10193,93756;9842,906648;10980,24679;3257,566822;2962,70086;7034,659388;4198,329655;10250,1025;2850,370969;7664,174815;6447,267669
 Primary somatosensory area  barrel field  layer 1 (SSp-bfd1);654,7927724;326,2015089;181,6213529;1942,870525;261,6781335;173,2572117;654,7927724;173,2572117;663,1569137;277,2115387;4768,755392;3365,969416;1321,534318;1371,719166;1008,47646;2283,410562;2159,143321;3535,641996;1429,073277;599,3163253;1761,647465;1964,577463
 Primary somatosensory area  barrel field  layer 2/3 (SSp-bfd2/3);6562,16738;683,5866482;1995,226793;7013,043679;1554,267128;244,6103093;2490,397393;2186,287278;6706,289129;4170,936329;13862,79345;13208,2956;1795,571892;6493,412049;6157,568706;12839,3968;13214,24558;17568,97019;6801,488817;2934,757047;6988,362279;10512,51369
 Primary somatosensory area  barrel field  layer 4 (SSp-bfd4);6029,307289;874,3783716;2098,508092;3919,088773;633,1436245;267,7783763;927,4656299;2668,415423;3107,165999;4844,993013;5746,695709;5939,527367;2230,445543;9188,779852;5072,17525;7171,464037;7283,884114;6266,638562;9433,137379;2107,095737;4089,540509;7402,679866
 Primary somatosensory area  barrel field  layer 5 (SSp-bfd5);11089,82016;2388,181034;4335,888247;8903,211892;1259,207645;930,718694;2487,72314;6682,593404;5972,526379;10161,59002;10256,98454;10725,66196;8330,844781;17112,11759;10532,38437;7433,306789;11127,97797;9629,03975;17300,41808;4484,964402;8688,366846;12189,20742
 Primary somatosensory area  barrel field  layer 6a (SSp-bfd6a);6231,623463;1595,912981;1948,588142;5600,358077;748,5665337;513,1925205;2487,247359;3885,600512;4293,067657;5420,547765;6500,953072;5869,687686;4553,908366;9262,932066;4245,992854;1870,644616;6500,953072;4631,851892;9138,685455;2732,212725;5087,294176;5941,843326
